"","Tiktok","Tetris","Reality","Podcast","Musica","Maximal","Leer","Documental","Basal"
"Theta_s1",47.540792709589,54.6812051832676,48.8850279033184,42.6001921772957,48.2737752258778,42.0011831521988,48.1652730047703,49.319612300396,49.319612300396
"Alpha_s1",40.42972432971,52.6568658173084,43.2103334605694,39.3825417101383,45.7245604932308,39.364810115099,41.6435123980045,45.6585373044014,45.6585373044014
"Theta_s2",49.61224796772,54.4194213032722,56.812690025568,57.6580944359303,52.5837877452373,54.4151418566704,49.8333001077175,50.2023914694786,52.5588801801205
"Alpha_s2",43.2460680246353,51.3776333391666,51.6128291130066,54.1170557439327,45.9458157122135,50.2154745161533,43.9477869391441,47.5056040406227,51.6545961916447
"Theta_s3",51.3480982899666,44.8450772404671,47.7369371116161,51.5770030677319,48.796216237545,48.7184181094169,50.3693866968155,48.796216237545,55.3133794188499
"Alpha_s3",42.1062122523785,40.2778346896172,38.7980376660824,43.8577948212624,43.9604991734028,41.6244121015072,40.9256080031395,43.9604991734028,44.4790369510651
"Theta_s5",43.0146895229816,42.0857606828213,41.3670173764229,42.3587036430836,47.7041965186596,36.8192503452301,41.067385751009,50.7627207040787,39.185673648119
"Alpha_s5",38.4268001079559,40.4208218574524,39.9274237513542,38.4236404299736,43.4505467474461,37.3927779257298,40.0829477369785,43.7492419958115,38.9678740620613
"Theta_s6",42.9951588094234,46.6820807278156,41.9841019451618,46.7857220232487,42.6123514831066,36.7563994705677,43.6931597650051,41.9841019451618,40.7022503972053
"Alpha_s6",39.2935117602348,42.0896850168705,39.3459120094776,41.9692904770374,42.0282287955284,36.1298849403858,41.4363779842854,39.3459120094776,40.1839951753616
"Theta_s7",42.8789378881455,44.9231742918492,48.6715920388698,45.7272181928158,43.5796640455723,47.594896709919,47.2295896589756,45.3571547746658,46.2897864222527
"Alpha_s7",38.7245697259903,41.4688541412354,44.2501432955265,40.7931166946888,40.568074965477,42.7348642706871,40.3018448174,41.3300018250942,43.8024180471897
"Theta_s8",39.96981138587,43.15764747262,44.3406901240349,38.7184844851494,39.3353199243545,37.81544328928,42.6655605494976,44.0568773329258,38.5770160675049
"Alpha_s8",36.1899466753006,39.379573571682,40.7110721290111,35.550792068243,36.459852796793,34.9919816195965,39.524290138483,39.0650213479996,35.411257314682
"Theta_s9",47.3934714734554,43.0890886187553,51.7611837744713,48.2798260211945,42.9300138115883,46.5056800484657,43.5842898488045,42.9702767848969,41.5209371685982
"Alpha_s9",43.2487899780274,40.8460894465447,47.6861767888069,42.9961490750313,41.1096605300903,41.5387640237808,41.3404942989349,40.5949085712433,40.6495923399925
