Frequency_Hz,Tiktok,Tetris,Reality,Podcast,Musica,Maximal,Leer,Documental,Basal
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,44.3424906134605,46.037272632122,49.3165555000305,43.8868883252144,44.1149836778641,42.3311126828194,48.6177064180374,44.537219107151,43.0063643455505
3,42.8119237422943,45.2094665765762,47.8774383962154,42.4929232895374,42.520756572485,41.1274599432945,46.8779753148556,43.7476406097412,41.8585278689861
4,41.8623442649841,44.459454536438,46.5594364404678,41.2718436717987,41.2614103555679,40.0690362453461,45.3935931921005,43.6659376621246,40.7023751735687
5,41.0321206748486,43.9082926213741,45.2246426939964,39.8026503324509,40.0775666236877,38.7381898760796,43.5619822144508,45.12155559659,39.395344376564
6,40.1660390496254,43.3533769249916,44.1827782392502,38.4041664600372,39.0094335079193,37.4371867775917,42.1873064041138,45.2115685939789,38.5696968436241
7,39.0995556712151,42.8916848897934,43.340815782547,37.5266862511635,38.4232401847839,36.7096891999245,41.295964628458,44.4769504070282,37.633421599865
8,37.6889972686768,41.1754283905029,42.395777463913,36.5870757102966,37.9049489498138,36.1231143474579,40.8889563083649,41.8083744049072,36.5842423439026
9,36.7971702814102,39.5355496406555,40.7728988230228,35.8094212710857,36.63155823946,35.1975334882736,39.5315309166908,39.3348689973354,35.7727316617966
10,36.0292887687683,39.0421884655952,40.066846370697,35.4255638718605,36.0910695791245,34.6969596743584,38.7345185279846,38.3931400179863,35.2745569944382
11,35.4939526319504,38.809294462204,40.113901078701,35.1442036032677,35.8216731250286,34.7429066002369,39.0194076001644,38.0063337981701,34.9250807762146
12,34.9403244256973,38.3354068994522,40.2059369087219,34.7876958847046,35.850014090538,34.1993939876556,39.4470373392105,37.7823895215988,34.4996747970581
13,35.3552377223969,37.9969857335091,39.3595016598701,34.6586366593838,35.4693493247032,33.9047246575356,38.5709410011768,37.6429494321346,34.090661585331
14,35.1161381602287,37.660649895668,39.1769769787788,34.2851734757423,34.9794610738754,33.5064671635628,38.2530542016029,37.3655740618706,34.0369756221771
15,34.317245900631,37.3964737355709,39.4250005483627,34.2380169034004,34.9306537210941,33.3389682173729,38.3961625993252,37.1623669266701,33.6359053254128
16,33.461067199707,37.158109664917,40.0476551055908,34.2406482696533,35.1178026199341,33.0528521537781,39.1674771308899,37.3213505744934,33.4305763244629
17,32.8771035671234,37.1880678832531,39.7566646039486,34.5458019673824,35.1352710425854,32.8415530025959,38.3325456082821,38.0344049334526,33.5642138123512
18,33.4095892310143,37.3486905694008,40.0880537033081,34.5098174214363,35.057479262352,32.5518506169319,38.1833820939064,38.618180334568,33.6523386240005
19,33.5208794772625,37.5132328867912,40.6380513906479,34.5408284068108,35.1744526922703,32.60424259305,38.7739274501801,38.4630275964737,33.8615595698357
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
